FAO.Code,Country,ISO,Continent,Group,EU27
153,New Caledonia,NCL,OCE,NAOce,OCE
154,The former Yugoslav Republic of Macedonia,MKD,EUR,Europe,EUR
155,Vanuatu,VUT,OCE,NAOce,OCE
156,New Zealand,NZL,OCE,NAOce,OCE
157,Nicaragua,NIC,LAM,LA,LAM
158,Niger,NER,AFR,SSAfr,AFR
159,Nigeria,NGA,AFR,SSAfr,AFR
162,Norway,NOR,EUR,Europe,EUR
165,Pakistan,PAK,ASI,SSAsia,ASI
166,Panama,PAN,LAM,LA,LAM
167,Czech Republic,CZE,EU,Europe,EU
168,Papua New Guinea,PNG,OCE,NAOce,OCE
169,Paraguay,PRY,LAM,LA,LAM
170,Peru,PER,LAM,LA,LAM
171,Philippines,PHL,ASI,SSAsia,ASI
173,Poland,POL,EU,Europe,EU
174,Portugal,PRT,EU,Europe,EU
175,Guinea-Bissau,GNB,AFR,SSAfr,AFR
176,Timor-Leste,TLS,ASI,SSAsia,ASI
177,Puerto Rico,PRI,LAM,LA,LAM
178,Eritrea,ERI,AFR,SSAfr,AFR
179,Qatar,QAT,ASI,NAWCA,ASI
181,Zimbabwe,ZWE,AFR,SSAfr,AFR
183,Romania,ROU,EU,Europe,EU
184,Rwanda,RWA,AFR,SSAfr,AFR
185,Russian Federation,RUS,ASI,Europe,ASI
186,Serbia and Montenegro,SCG,EUR,Europe,EUR
188,Saint Kitts and Nevis,KNA,LAM,LA,LAM
189,Saint Lucia,LCA,LAM,LA,LAM
191,Saint Vincent and the Grenadines,VCT,LAM,LA,LAM
193,Sao Tome and Principe,STP,AFR,SSAfr,AFR
194,Saudi Arabia,SAU,ASI,NAWCA,ASI
195,Senegal,SEN,AFR,SSAfr,AFR
197,Sierra Leone,SLE,AFR,SSAfr,AFR
198,Slovenia,SVN,EU,Europe,EU
199,Slovakia,SVK,EU,Europe,EU
200,Singapore,SGP,ASI,IndA,ASI
201,Somalia,SOM,AFR,SSAfr,AFR
202,South Africa,ZAF,AFR,SSAfr,AFR
203,Spain,ESP,EU,Europe,EU
207,Suriname,SUR,LAM,LA,LAM
208,Tajikistan,TJK,ASI,NAWCA,ASI
209,Swaziland,SWZ,AFR,SSAfr,AFR
210,Sweden,SWE,EU,Europe,EU
211,Switzerland,CHE,EUR,Europe,EUR
212,Syrian Arab Republic,SYR,ASI,NAWCA,ASI
213,Turkmenistan,TKM,ASI,NAWCA,ASI
214,"China, Taiwan Province of",TWN,ASI,IndA,ASI
215,United Republic of Tanzania,TZA,AFR,SSAfr,AFR
216,Thailand,THA,ASI,SSAsia,ASI
217,Togo,TGO,AFR,SSAfr,AFR
220,Trinidad and Tobago,TTO,LAM,LA,LAM
221,Oman,OMN,ASI,NAWCA,ASI
222,Tunisia,TUN,AFR,NAWCA,AFR
223,Turkey,TUR,EUR,NAWCA,EUR
225,United Arab Emirates,ARE,ASI,NAWCA,ASI
226,Uganda,UGA,AFR,SSAfr,AFR
228,USSR,SUN,ASI,Europe,ASI
229,United Kingdom,GBR,EU,Europe,EUR
230,Ukraine,UKR,EUR,Europe,EUR
231,United States of America,USA,NAM,NAOce,NAM
233,Burkina Faso,BFA,AFR,SSAfr,AFR
234,Uruguay,URY,LAM,LA,LAM
235,Uzbekistan,UZB,ASI,NAWCA,ASI
236,Venezuela (Bolivarian Republic of),VEN,LAM,LA,LAM
237,Viet Nam,VNM,ASI,SSAsia,ASI
238,Ethiopia,ETH,AFR,SSAfr,AFR
244,Samoa,WSM,OCE,NAOce,OCE
248,Yugoslav SFR,YUG,EUR,Europe,EUR
249,Yemen,YEM,ASI,NAWCA,ASI
250,Democratic Republic of the Congo,COD,AFR,SSAfr,AFR
251,Zambia,ZMB,AFR,SSAfr,AFR
255,Belgium,BEL,EU,Europe,EU
256,Luxembourg,LUX,EU,Europe,EU
272,Serbia,SRB,EUR,Europe,EUR
273,Montenegro,MNE,EUR,Europe,EUR
276,Sudan,SDN,AFR,SSAfr,AFR
277,South Sudan,SSD,AFR,SSAfr,AFR
999,RoW,ROW,ROW,NAOce,ROW
